iteration time doc.count score word.count unseen.score unseen.word.count
43 169 688 -10375903.19779 1249675 0.00000 0
44 173 704 -9446917.48233 1132682 0.00000 0
45 176 720 -6488786.56441 781268 0.00000 0
46 180 736 -6840513.49506 820680 0.00000 0
47 184 752 -9529436.53664 1142537 0.00000 0
48 188 768 -9205272.24694 1101178 0.00000 0
49 192 784 -10698789.05435 1294508 0.00000 0
50 195 800 -8621437.62770 1042570 0.00000 0
51 200 816 -12681539.79612 1524902 0.00000 0
52 204 832 -9996160.70770 1204456 0.00000 0
53 208 848 -9022862.34770 1081788 0.00000 0
54 212 864 -7962929.12851 959953 0.00000 0
55 216 880 -8077258.88506 962965 0.00000 0
56 219 896 -8341996.59556 1007977 0.00000 0
57 223 912 -8534626.37625 1027534 0.00000 0
58 227 928 -11851381.08748 1437124 0.00000 0
59 231 944 -9964859.18832 1204784 0.00000 0
60 235 960 -8446456.76448 1016717 0.00000 0
61 239 976 -8855630.23919 1067222 0.00000 0
62 243 992 -8072895.22451 975776 0.00000 0
63 246 1008 -10167382.71540 1230739 0.00000 0
64 250 1024 -9153739.62353 1102923 0.00000 0
65 254 1040 -10829133.35041 1319732 0.00000 0
66 258 1056 -8943133.89896 1078868 0.00000 0
67 262 1072 -7976592.66223 958477 0.00000 0
68 266 1088 -8250548.74325 994324 0.00000 0
69 270 1104 -7691694.29831 924316 0.00000 0
70 274 1120 -8131032.53317 981486 0.00000 0
71 278 1136 -10340498.21468 1238523 0.00000 0
72 282 1152 -10453311.06940 1264403 0.00000 0
73 286 1168 -10251739.27752 1228065 0.00000 0
74 290 1184 -10459972.23983 1261057 0.00000 0
75 294 1200 -7576951.00197 916652 0.00000 0
76 298 1216 -8336211.37144 1005317 0.00000 0
77 302 1232 -10357359.92437 1249680 0.00000 0
78 306 1248 -7540652.63474 910901 0.00000 0
79 310 1264 -9874360.39702 1194188 0.00000 0
80 313 1280 -9815229.63143 1188204 0.00000 0
81 317 1296 -6355720.24277 766461 0.00000 0
82 321 1312 -10396540.59879 1255557 0.00000 0
83 325 1328 -8545077.59007 1034260 0.00000 0
84 329 1344 -11363949.22152 1375663 0.00000 0
85 333 1360 -9172219.61141 1105669 0.00000 0
86 336 1376 -7597021.33360 920401 0.00000 0
87 340 1392 -10550985.29907 1275091 0.00000 0
88 344 1408 -8414297.80988 1024239 0.00000 0
89 348 1424 -10880177.49621 1322965 0.00000 0
90 352 1440 -7578079.24246 912724 0.00000 0
91 356 1456 -10863785.25944 1306607 0.00000 0
92 360 1472 -10679982.00747 1287524 0.00000 0
93 364 1488 -9344996.57614 1130017 0.00000 0
94 368 1504 -8891671.35257 1075571 0.00000 0
95 371 1520 -8111963.61799 976668 0.00000 0
96 375 1536 -7233159.16634 872631 0.00000 0
97 379 1552 -10012519.86283 1212473 0.00000 0
98 383 1568 -10045258.55471 1205449 0.00000 0
99 387 1584 -9204013.86553 1117317 0.00000 0
100 391 1600 -8851990.36895 1071389 0.00000 0
101 395 1616 -9305415.88329 1128298 0.00000 0
102 399 1632 -9107103.16569 1097349 0.00000 0
103 404 1648 -10353171.70941 1248786 0.00000 0
104 407 1664 -9492047.50246 1152172 0.00000 0
105 411 1680 -10134695.66972 1228138 0.00000 0
106 415 1696 -9210926.94566 1117602 0.00000 0
107 419 1712 -9832464.64338 1193583 0.00000 0
108 423 1728 -8254210.84829 997513 0.00000 0
109 427 1744 -10399200.67698 1256038 0.00000 0
110 431 1760 -10348337.00508 1253719 0.00000 0
111 435 1776 -7899726.32465 953301 0.00000 0
112 439 1792 -8418981.09345 1017131 0.00000 0
113 443 1808 -9646800.20968 1160589 0.00000 0
114 447 1824 -10789726.15183 1313230 0.00000 0
115 450 1840 -9273364.24246 1125367 0.00000 0
116 455 1856 -10774556.32843 1293363 0.00000 0
117 459 1872 -10042813.40912 1210096 0.00000 0
118 462 1888 -8206701.38705 989428 0.00000 0
119 466 1904 -12222886.80140 1475922 0.00000 0
120 470 1920 -9788130.00720 1186088 0.00000 0
121 474 1936 -8439215.18694 1017819 0.00000 0
122 478 1952 -10464654.99772 1270705 0.00000 0
123 482 1968 -7123042.95319 861204 0.00000 0
124 486 1984 -10362373.21622 1248050 0.00000 0
125 491 2000 -11032884.43932 1336132 0.00000 0
126 495 2016 -8790777.56700 1064631 0.00000 0
127 498 2032 -8074523.90728 975505 0.00000 0
128 503 2048 -11125800.11017 1350831 0.00000 0
129 507 2064 -11755601.56450 1440839 0.00000 0
130 511 2080 -11226888.35073 1352097 0.00000 0
131 514 2096 -7160501.23924 865369 0.00000 0
132 518 2112 -8737850.55359 1057261 0.00000 0
133 522 2128 -10142030.31158 1217478 0.00000 0
134 526 2144 -7267870.31800 883303 0.00000 0
135 530 2160 -9339231.96944 1131587 0.00000 0
136 534 2176 -10275544.31258 1239070 0.00000 0
137 537 2192 -6719629.00656 811099 0.00000 0
138 541 2208 -8176472.61213 994660 0.00000 0
139 545 2224 -10096084.02119 1220692 0.00000 0
140 549 2240 -7698690.23117 928224 0.00000 0
141 553 2256 -8549755.78360 1034329 0.00000 0
142 557 2272 -10161679.07598 1231407 0.00000 0
143 561 2288 -9031602.66042 1089169 0.00000 0
144 565 2304 -12316318.02605 1492693 0.00000 0
145 569 2320 -10748868.73783 1297195 0.00000 0
146 572 2336 -8700634.76726 1054280 0.00000 0
147 576 2352 -9152856.68324 1109178 0.00000 0
148 580 2368 -9783147.69064 1185813 0.00000 0
149 584 2384 -8837690.42841 1072846 0.00000 0
150 588 2400 -9091167.20268 1107342 0.00000 0
151 592 2416 -9446060.24174 1142643 0.00000 0
152 596 2432 -10237505.10964 1240658 0.00000 0
153 600 2448 -10004945.13841 1212780 0.00000 0
154 604 2464 -9951869.66591 1196761 0.00000 0
155 608 2480 -10985778.40626 1327809 0.00000 0
156 612 2496 -8644257.75347 1051325 0.00000 0
157 616 2512 -9457058.28166 1152294 0.00000 0
158 620 2528 -9635979.21497 1169201 0.00000 0
159 624 2544 -9281079.24014 1117331 0.00000 0
160 628 2560 -11508164.74840 1398660 0.00000 0
161 632 2576 -9458852.44943 1150333 0.00000 0
162 636 2592 -8553409.24696 1041606 0.00000 0
163 640 2608 -10394295.54720 1258004 0.00000 0
164 644 2624 -10704648.30446 1296846 0.00000 0
165 648 2640 -9424139.45766 1138616 0.00000 0
166 652 2656 -12681518.08741 1535415 0.00000 0
167 656 2672 -9266648.66867 1120380 0.00000 0
168 660 2688 -8966726.40257 1085545 0.00000 0
169 664 2704 -10694997.50370 1304431 0.00000 0
170 669 2720 -9182425.29505 1115615 0.00000 0
171 672 2736 -9006047.26448 1094387 0.00000 0
172 676 2752 -7539441.11027 911069 0.00000 0
173 680 2768 -10269730.61816 1245578 0.00000 0
174 684 2784 -7506496.83132 908346 0.00000 0
175 688 2800 -10389260.14068 1265506 0.00000 0
176 692 2816 -8125073.77052 985334 0.00000 0
177 696 2832 -9405929.92927 1147347 0.00000 0
178 700 2848 -11391498.97949 1385640 0.00000 0
179 704 2864 -9769042.14560 1183527 0.00000 0
180 708 2880 -9618798.78509 1164117 0.00000 0
181 712 2896 -9803351.41839 1189997 0.00000 0
182 716 2912 -9825313.17149 1195358 0.00000 0
183 720 2928 -9347701.68695 1137699 0.00000 0
184 724 2944 -10187654.20197 1236748 0.00000 0
185 728 2960 -8610748.32106 1046481 0.00000 0
186 732 2976 -10244953.03024 1235983 0.00000 0
187 736 2992 -9928966.44297 1197872 0.00000 0
188 740 3008 -10495473.76940 1274123 0.00000 0
189 744 3024 -7787466.16670 944185 0.00000 0
190 748 3040 -11941022.27165 1457670 0.00000 0
191 752 3056 -6606332.87428 797697 0.00000 0
192 755 3072 -10129200.89776 1223523 0.00000 0
193 759 3088 -10370414.38480 1261120 0.00000 0
194 763 3104 -9788304.72253 1193778 0.00000 0
195 767 3120 -10440366.04685 1270224 0.00000 0
196 771 3136 -8068776.20041 978853 0.00000 0
197 775 3152 -10604144.33825 1296378 0.00000 0
198 779 3168 -9409869.16055 1139931 0.00000 0
199 783 3184 -10896104.26736 1322295 0.00000 0
200 787 3200 -9608000.14459 1162619 0.00000 0
201 791 3216 -9133506.15060 1114925 0.00000 0
202 795 3232 -11163954.50004 1361319 0.00000 0
203 799 3248 -9291310.38291 1126455 0.00000 0
204 803 3264 -10253472.72762 1242259 0.00000 0
205 807 3280 -7557702.31386 916807 0.00000 0
206 810 3296 -5264698.01942 631283 0.00000 0
207 814 3312 -9053134.85467 1099005 0.00000 0
208 818 3328 -9484714.76574 1156672 0.00000 0
209 822 3344 -11245461.98414 1362472 0.00000 0
210 826 3360 -9721835.14584 1186088 0.00000 0
211 830 3376 -10717353.53332 1292317 0.00000 0
212 834 3392 -9737771.83131 1189864 0.00000 0
213 838 3408 -9648954.02289 1170633 0.00000 0
214 842 3424 -8198170.46503 987492 0.00000 0
215 846 3440 -8526556.16943 1037917 0.00000 0
216 850 3456 -10492194.51946 1270547 0.00000 0
217 853 3472 -9037609.46008 1095707 0.00000 0
218 857 3488 -8839810.29817 1070250 0.00000 0
219 861 3504 -7050834.85570 850792 0.00000 0
220 865 3520 -8666334.18989 1054310 0.00000 0
221 869 3536 -11816081.00416 1431044 0.00000 0
222 873 3552 -11099299.74610 1353612 0.00000 0
223 877 3568 -9643058.09346 1171724 0.00000 0
224 881 3584 -10143117.82913 1231529 0.00000 0
225 885 3600 -8307505.92814 1008719 0.00000 0
226 889 3616 -10473699.67292 1271424 0.00000 0
227 893 3632 -13404884.42288 1629769 0.00000 0
228 897 3648 -9316797.12887 1128430 0.00000 0
229 901 3664 -9326179.11517 1133629 0.00000 0
230 905 3680 -9980883.94752 1221219 0.00000 0
231 909 3696 -8044753.66335 980626 0.00000 0
232 913 3712 -9517324.92013 1157039 0.00000 0
233 917 3728 -7731419.54723 938993 0.00000 0
234 921 3744 -10828779.06221 1310681 0.00000 0
235 925 3760 -11262008.64737 1369173 0.00000 0
236 929 3776 -11242700.26827 1363037 0.00000 0
237 934 3792 -11313165.89991 1375744 0.00000 0
238 937 3808 -8737260.73835 1057989 0.00000 0
239 941 3824 -6597646.22773 801033 0.00000 0
240 945 3840 -10141527.80682 1231743 0.00000 0
241 949 3856 -9014624.84619 1097071 0.00000 0
242 953 3872 -8639702.38096 1048135 0.00000 0
243 956 3888 -9714259.65823 1181466 0.00000 0
244 961 3904 -10806893.62037 1319819 0.00000 0
245 965 3920 -10701686.56206 1305515 0.00000 0
246 968 3936 -7440798.11391 904719 0.00000 0
247 972 3952 -9799287.31629 1194773 0.00000 0
248 976 3968 -8363142.43980 1020768 0.00000 0
249 980 3984 -9955773.42254 1201769 0.00000 0
250 984 4000 -9336514.57329 1138048 0.00000 0
251 987 4016 -8832479.43085 1079556 0.00000 0
252 991 4032 -8489859.57721 1030927 0.00000 0
253 995 4048 -9686430.76256 1181681 0.00000 0
254 999 4064 -8923842.71168 1087296 0.00000 0
255 1003 4080 -8270334.49638 1010273 0.00000 0
256 1007 4096 -13162740.35019 1595544 0.00000 0
257 1011 4112 -7820713.07784 950929 0.00000 0
258 1015 4128 -8558470.68684 1035552 0.00000 0
259 1019 4144 -9634003.46214 1172658 0.00000 0
260 1023 4160 -9486725.70024 1157643 0.00000 0
261 1027 4176 -10142480.29633 1228663 0.00000 0
262 1030 4192 -9177369.06607 1119473 0.00000 0
263 1035 4208 -10371373.34808 1264683 0.00000 0
264 1038 4224 -9417655.50803 1142862 0.00000 0
265 1042 4240 -9749897.65111 1181984 0.00000 0
266 1046 4256 -12027467.99268 1460543 0.00000 0
267 1051 4272 -11916950.90311 1445508 0.00000 0
268 1055 4288 -9351369.40185 1132363 0.00000 0
269 1059 4304 -7998639.08147 971368 0.00000 0
270 1063 4320 -11339076.08973 1378397 0.00000 0
271 1067 4336 -8780258.76101 1065402 0.00000 0
272 1071 4352 -9256049.88511 1123699 0.00000 0
273 1075 4368 -7686725.27369 940771 0.00000 0
274 1078 4384 -9116518.19794 1115244 0.00000 0
275 1082 4400 -9198680.41049 1115810 0.00000 0
276 1086 4416 -9210996.38284 1120089 0.00000 0
277 1090 4432 -10414792.85978 1266736 0.00000 0
278 1095 4448 -9337324.85066 1135389 0.00000 0
279 1099 4464 -10402917.12640 1277501 0.00000 0
280 1102 4480 -7497676.87943 905069 0.00000 0
281 1106 4496 -10753961.36576 1316539 0.00000 0
282 1111 4512 -9496983.27605 1146569 0.00000 0
283 1114 4528 -9032126.20909 1095149 0.00000 0
284 1118 4544 -9550327.99565 1154697 0.00000 0
285 1123 4560 -10454323.28569 1276555 0.00000 0
286 1126 4576 -6632280.97515 802179 0.00000 0
287 1130 4592 -9729202.42269 1183564 0.00000 0
288 1134 4608 -8796510.87028 1075348 0.00000 0
289 1138 4624 -12967851.02931 1584861 0.00000 0
290 1142 4640 -9543514.31885 1157927 0.00000 0
291 1146 4656 -10087714.79931 1223476 0.00000 0
292 1150 4672 -9903648.62816 1195412 0.00000 0
293 1154 4688 -12243568.31460 1480252 0.00000 0
294 1158 4704 -10420083.44786 1260029 0.00000 0
295 1162 4720 -7444518.57380 899580 0.00000 0
296 1166 4736 -11559832.45199 1405638 0.00000 0
297 1170 4752 -9017968.82188 1100956 0.00000 0
298 1174 4768 -8486358.63583 1039360 0.00000 0
299 1178 4784 -7945068.98125 958078 0.00000 0
300 1182 4800 -10121958.48882 1230862 0.00000 0
301 1186 4816 -9105465.84907 1108842 0.00000 0
302 1190 4832 -9415025.29042 1138106 0.00000 0
303 1194 4848 -10744990.62856 1303275 0.00000 0
304 1198 4864 -10870122.74898 1331294 0.00000 0
305 1202 4880 -9903214.01572 1197869 0.00000 0
306 1205 4896 -6986336.73368 846818 0.00000 0
307 1210 4912 -10335836.15542 1256377 0.00000 0
308 1213 4928 -8175963.46725 988320 0.00000 0
309 1217 4944 -7884871.10237 957558 0.00000 0
310 1221 4960 -8703780.37067 1050217 0.00000 0
311 1225 4976 -10287590.52470 1252168 0.00000 0
312 1229 4992 -9840881.35420 1197433 0.00000 0
313 1233 5008 -10065157.73919 1222713 0.00000 0
314 1237 5024 -10059748.12261 1224185 0.00000 0
315 1241 5040 -5889523.08035 716127 0.00000 0
316 1245 5056 -11312893.79954 1375651 0.00000 0
317 1249 5072 -10858173.09799 1321077 0.00000 0
318 1253 5088 -9092616.38684 1106891 0.00000 0
319 1257 5104 -9423156.74841 1152054 0.00000 0
320 1261 5120 -11337895.14871 1382318 0.00000 0
321 1265 5136 -9868341.44383 1199285 0.00000 0
322 1268 5152 -8219288.13470 998107 0.00000 0
323 1273 5168 -9725683.36381 1181030 0.00000 0
324 1276 5184 -10090864.67514 1230183 0.00000 0
325 1280 5200 -8123679.84814 987471 0.00000 0
326 1284 5216 -9764288.73527 1184058 0.00000 0
327 1289 5232 -10799712.25449 1318485 0.00000 0
328 1292 5248 -8975415.32590 1084976 0.00000 0
329 1296 5264 -8377587.01326 1024401 0.00000 0
330 1300 5280 -9358375.56921 1135798 0.00000 0
331 1304 5296 -10570778.38726 1291484 0.00000 0
332 1308 5312 -10312608.79378 1259321 0.00000 0
333 1312 5328 -8204853.57603 992058 0.00000 0
334 1316 5344 -11533183.33196 1414359 0.00000 0
335 1320 5360 -10330113.89376 1249099 0.00000 0
336 1325 5376 -10997100.02426 1339550 0.00000 0
337 1329 5392 -9796622.02688 1184781 0.00000 0
338 1333 5408 -9287867.67327 1124466 0.00000 0
339 1337 5424 -12019107.18233 1464286 0.00000 0
340 1341 5440 -7993990.91372 966633 0.00000 0
341 1345 5456 -8555824.78757 1036802 0.00000 0
342 1349 5472 -9031507.23422 1096315 0.00000 0
343 1352 5488 -7888445.29132 960147 0.00000 0
344 1356 5504 -6635562.26068 801501 0.00000 0
345 1360 5520 -7476096.07804 906641 0.00000 0
346 1364 5536 -8439835.58776 1036128 0.00000 0
347 1367 5552 -9238500.87503 1118820 0.00000 0
348 1371 5568 -9992202.19640 1216269 0.00000 0
349 1375 5584 -9296952.57202 1132957 0.00000 0
350 1379 5600 -9749676.38787 1188592 0.00000 0
351 1383 5616 -9678117.67106 1174685 0.00000 0
352 1386 5632 -7154788.73032 870786 0.00000 0
353 1391 5648 -9980457.19862 1206291 0.00000 0
354 1395 5664 -10439460.62984 1272387 0.00000 0
355 1399 5680 -8665238.10748 1053394 0.00000 0
356 1403 5696 -9281598.76473 1128486 0.00000 0
357 1407 5712 -8995557.82309 1086079 0.00000 0
358 1411 5728 -9259086.98974 1127764 0.00000 0
359 1415 5744 -11546084.50190 1402773 0.00000 0
360 1419 5760 -8034239.39972 971278 0.00000 0
361 1423 5776 -9333318.86601 1137146 0.00000 0
362 1427 5792 -8933903.51590 1081200 0.00000 0
363 1431 5808 -10636959.53170 1299067 0.00000 0
364 1435 5824 -10100279.24817 1220053 0.00000 0
365 1438 5840 -7011962.67840 849431 0.00000 0
366 1442 5856 -10704851.15816 1299314 0.00000 0
367 1446 5872 -8264271.50457 998499 0.00000 0
368 1450 5888 -7495677.51198 904228 0.00000 0
369 1454 5904 -10701678.54307 1297096 0.00000 0
370 1458 5920 -8985734.47532 1088124 0.00000 0
371 1462 5936 -11123460.26903 1354939 0.00000 0
372 1466 5952 -7844774.30496 952744 0.00000 0
373 1470 5968 -10345891.23215 1260206 0.00000 0
374 1474 5984 -8997634.99227 1089164 0.00000 0
375 1478 6000 -9055961.36777 1103049 0.00000 0
376 1482 6016 -10880876.63268 1324857 0.00000 0
377 1486 6032 -8996989.58584 1094297 0.00000 0
378 1489 6048 -9373228.26211 1135497 0.00000 0
379 1493 6064 -10990421.73730 1338119 0.00000 0
380 1498 6080 -10369271.87082 1262164 0.00000 0
381 1502 6096 -8988867.73906 1096676 0.00000 0
382 1506 6112 -8487848.98665 1027366 0.00000 0
383 1510 6128 -8800665.17990 1072721 0.00000 0
384 1513 6144 -9733001.68665 1186062 0.00000 0
385 1517 6160 -9740866.41139 1187762 0.00000 0
386 1521 6176 -9757867.28530 1190188 0.00000 0
387 1525 6192 -10171053.46493 1242567 0.00000 0
388 1529 6208 -9019297.15629 1107851 0.00000 0
389 1533 6224 -9790549.96621 1187993 0.00000 0
390 1537 6240 -9680885.37292 1186473 0.00000 0
391 1541 6256 -11000698.35448 1322546 0.00000 0
392 1545 6272 -10907288.75276 1322142 0.00000 0
393 1549 6288 -10991461.02985 1334501 0.00000 0
394 1553 6304 -8102961.95774 987221 0.00000 0
395 1557 6320 -9384054.89333 1131495 0.00000 0
396 1561 6336 -9237495.58638 1116494 0.00000 0
397 1565 6352 -10602678.22278 1285078 0.00000 0
398 1569 6368 -10587713.36367 1272793 0.00000 0
399 1573 6384 -7734455.52055 939064 0.00000 0
400 1577 6400 -9141019.43755 1108529 0.00000 0
401 1581 6416 -9950122.71568 1205360 0.00000 0
402 1585 6432 -11330269.27514 1376699 0.00000 0
403 1589 6448 -9450117.31998 1154227 0.00000 0
404 1593 6464 -8492892.32504 1025257 0.00000 0
405 1597 6480 -9225993.47143 1123935 0.00000 0
406 1601 6496 -8958681.27568 1082436 0.00000 0
407 1605 6512 -8415267.37001 1025381 0.00000 0
408 1608 6528 -6784563.95963 826769 0.00000 0
409 1612 6544 -7880599.31736 955742 0.00000 0
410 1616 6560 -9147066.09784 1111400 0.00000 0
411 1620 6576 -9568593.07688 1158859 0.00000 0
412 1624 6592 -8521277.33441 1032634 0.00000 0
413 1628 6608 -9317991.83030 1137232 0.00000 0
414 1632 6624 -8144127.11482 989212 0.00000 0
415 1636 6640 -9172107.40782 1110902 0.00000 0
416 1640 6656 -11182096.48431 1366297 0.00000 0
417 1643 6672 -8816075.32667 1070715 0.00000 0
418 1647 6688 -7724816.95192 944277 0.00000 0
419 1651 6704 -13415737.68480 1643040 0.00000 0
420 1655 6720 -9175986.43257 1113583 0.00000 0
421 1659 6736 -9544576.43152 1166773 0.00000 0
422 1663 6752 -7399956.58220 897279 0.00000 0
423 1667 6768 -10764994.08371 1309381 0.00000 0
424 1671 6784 -10430642.20938 1266602 0.00000 0
425 1675 6800 -12980250.46296 1587548 0.00000 0
426 1679 6816 -10300707.83043 1247951 0.00000 0
427 1683 6832 -10321092.98519 1256894 0.00000 0
428 1687 6848 -10323649.77189 1257367 0.00000 0
429 1691 6864 -7102048.85649 862898 0.00000 0
430 1694 6880 -9496530.06599 1152758 0.00000 0
431 1698 6896 -8733772.34510 1061499 0.00000 0
432 1702 6912 -10405334.35970 1270208 0.00000 0
433 1706 6928 -11503993.55237 1395669 0.00000 0
434 1710 6944 -10591864.38435 1291985 0.00000 0
435 1715 6960 -11873919.32299 1442678 0.00000 0
436 1719 6976 -12135951.58316 1480546 0.00000 0
437 1723 6992 -9497882.68637 1151970 0.00000 0
438 1727 7008 -7677249.70425 935295 0.00000 0
439 1730 7024 -8583700.75080 1041161 0.00000 0
440 1734 7040 -9384399.12648 1137420 0.00000 0
441 1738 7056 -8980922.76852 1096319 0.00000 0
442 1742 7072 -7610174.66355 924546 0.00000 0
443 1746 7088 -10447881.38049 1272139 0.00000 0
444 1750 7104 -10727697.14253 1309949 0.00000 0
445 1754 7120 -9507395.56939 1159036 0.00000 0
446 1758 7136 -7692432.71240 938333 0.00000 0
447 1762 7152 -11787149.57463 1442760 0.00000 0
448 1766 7168 -8741287.80012 1065630 0.00000 0
449 1770 7184 -11293825.19595 1377282 0.00000 0
450 1773 7200 -6325030.25379 766177 0.00000 0
451 1777 7216 -9368419.27750 1136441 0.00000 0
452 1781 7232 -9573070.70655 1160437 0.00000 0
453 1785 7248 -11772370.67391 1442218 0.00000 0
454 1789 7264 -9893730.47692 1207806 0.00000 0
455 1793 7280 -7697067.26565 931940 0.00000 0
456 1797 7296 -8907401.44752 1087263 0.00000 0
457 1801 7312 -10230344.41261 1235576 0.00000 0
458 1805 7328 -8593815.84899 1048343 0.00000 0
459 1808 7344 -6823160.44426 818651 0.00000 0
460 1812 7360 -9221545.61382 1124567 0.00000 0
461 1816 7376 -10826036.65695 1320815 0.00000 0
462 1820 7392 -9108594.15667 1101630 0.00000 0
463 1824 7408 -10035012.99981 1229121 0.00000 0
464 1828 7424 -8850621.78898 1065959 0.00000 0
465 1832 7440 -11858541.16796 1449360 0.00000 0
466 1836 7456 -8313872.58016 1008464 0.00000 0
467 1839 7472 -6928257.76651 845290 0.00000 0
468 1844 7488 -9657482.92252 1171082 0.00000 0
469 1847 7504 -7755632.65054 938576 0.00000 0
470 1851 7520 -8652390.83067 1048484 0.00000 0
471 1856 7536 -11103403.88894 1349327 0.00000 0
472 1859 7552 -6989133.35644 842297 0.00000 0
473 1863 7568 -10380038.75648 1264216 0.00000 0
474 1867 7584 -8151379.51161 982470 0.00000 0
475 1871 7600 -8533368.90936 1033015 0.00000 0
476 1875 7616 -10143472.85061 1233994 0.00000 0
477 1879 7632 -11874120.69456 1447888 0.00000 0
478 1883 7648 -9109119.19050 1109572 0.00000 0
479 1887 7664 -6399084.00567 771719 0.00000 0
480 1891 7680 -8079268.61928 977189 0.00000 0
481 1895 7696 -8945589.22192 1083942 0.00000 0
482 1898 7712 -8127691.99626 990706 0.00000 0
483 1902 7728 -10380782.55560 1261547 0.00000 0
484 1907 7744 -9182258.72971 1119050 0.00000 0
485 1911 7760 -9797019.11716 1189549 0.00000 0
486 1914 7776 -10965753.96124 1335919 0.00000 0
487 1918 7792 -10434922.83428 1266925 0.00000 0
488 1922 7808 -10171931.06114 1235621 0.00000 0
489 1926 7824 -10038297.79436 1218261 0.00000 0
490 1931 7840 -11372024.57129 1387406 0.00000 0
491 1935 7856 -8346164.13045 1011511 0.00000 0
492 1938 7872 -8308179.39048 1013680 0.00000 0
493 1943 7888 -9537157.51363 1156697 0.00000 0
494 1947 7904 -10820827.72055 1317224 0.00000 0
495 1950 7920 -8309122.94362 1008555 0.00000 0
496 1954 7936 -9429069.03365 1142579 0.00000 0
497 1958 7952 -8400080.91357 1020469 0.00000 0
498 1962 7968 -10090395.26478 1221252 0.00000 0
499 1966 7984 -9923360.50264 1204727 0.00000 0
500 1970 8000 -9765913.02864 1190979 0.00000 0
501 1975 8016 -11634055.75937 1407646 0.00000 0
502 1979 8032 -9297646.71319 1128607 0.00000 0
503 1983 8048 -9472436.09109 1155460 0.00000 0
504 1987 8064 -8595667.65312 1043253 0.00000 0
505 1990 8080 -8858611.28463 1066654 0.00000 0
506 1994 8096 -8914427.68315 1085574 0.00000 0
507 1998 8112 -10386192.00201 1258752 0.00000 0
508 2002 8128 -9602129.17587 1165853 0.00000 0
509 2006 8144 -7854617.81985 949907 0.00000 0
510 2010 8160 -12617245.57913 1537480 0.00000 0
511 2015 8176 -10230622.38070 1248180 0.00000 0
512 2018 8192 -7685660.45204 932735 0.00000 0
513 2022 8208 -9940096.51638 1203174 0.00000 0
514 2026 8224 -6989336.25692 848773 0.00000 0
515 2030 8240 -8296361.79154 1015436 0.00000 0
516 2034 8256 -11317368.16173 1380956 0.00000 0
517 2038 8272 -8594872.38828 1042763 0.00000 0
518 2042 8288 -8274033.07985 1004389 0.00000 0
519 2046 8304 -8682834.24150 1050918 0.00000 0
520 2049 8320 -7758953.02080 946544 0.00000 0
521 2053 8336 -9002594.24877 1095738 0.00000 0
522 2057 8352 -8068057.00409 977792 0.00000 0
523 2061 8368 -9083855.09362 1110207 0.00000 0
524 2065 8384 -7924040.89240 964284 0.00000 0
525 2069 8400 -7940799.99455 963226 0.00000 0
526 2072 8416 -7908637.52514 963437 0.00000 0
527 2076 8432 -8862166.75287 1082782 0.00000 0
528 2080 8448 -8653703.28093 1056947 0.00000 0
